ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
pT,ProtoTakana,taca1255,Tacanan,,,,,Pano-Tacanan
ProPaTa,ProtoPanoTakana,pano1259,Pano-Tacanan,,,,,Pano-Tacanan
pP,Proto-Panoan,,,,,,,
