ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,ProtoForm,ConceptInSource
pP-earth-5,,pP,earth,*maṣ̌i,*maṣ̌i,m a ʃ i,Shell’s *masṣ̌i,,63,,^ * m a ṣ̌ i $,default,**mai-,sand
pT-earth-1,,pT,earth,"*me1-,*meʔi,*mec̹i",*me1-,m e,,,63,,^ * m e 1 -$,default,**mai-,"earth,sand,etc"
pT-earth-2,,pT,earth,"*me1-,*meʔi,*mec̹i",*meʔi,m e ʔ i,,,63,,^ * m e ʔ i $,default,**mai-,"earth,sand,etc"
pT-earth-3,,pT,earth,"*me1-,*meʔi,*mec̹i",*mec̹i,m e ʈʂ i,,,63,,^ * m e c̹ i $,default,**mai-,"earth,sand,etc"
ProPaTa-piranha-1,,ProPaTa,piranha,**makɨ,**makɨ,m a k ɨ,,,64,,^ * * m a k ɨ $,default,**makɨ,piranha
pP-piranha-1,,pP,piranha,*makɨ,*makɨ,m a k ɨ,,,64,,^ * m a k ɨ $,default,**makɨ,piranha
pT-piranha-1,,pT,piranha,*make,*make,m a k e,,,64,,^ * m a k e $,default,**makɨ,piranha
ProPaTa-todie-1,,ProPaTa,todie,"**ma-,**manu-",**ma-,m a,,,65,,^ * * m a -$,default,"**ma-,**manu-",to die
ProPaTa-todie-2,,ProPaTa,todie,"**ma-,**manu-",**manu-,m a n u,,,65,,^ * * m a n u -$,default,"**ma-,**manu-",to die
pP-todie-1,,pP,todie,*manu-,*manu-,m a n u,,,65,,^ * m a n u -$,default,"**ma-,**manu-",to forget
pP-todie-2,,pP,todie,*mawa-,*mawa-,m a w a,,,65,,^ * m a w a -$,default,"**ma-,**manu-",to die
pT-todie-1,,pT,todie,*ma-,*ma-,m a,,,65,,^ * m a -$,default,"**ma-,**manu-",to die
pT-todie-2,,pT,todie,*manu-,*manu-,m a n u,,,65,,^ * m a n u -$,default,"**ma-,**manu-",to die
ProPaTa-choppermortar-1,,ProPaTa,choppermortar,**manVkanV,**manVkanV,m a n !V/i k a n !V/i,,,66,,^ * * m a n V k a n V $,default,**manVkanV,"chopper,mortar"
pP-choppermortar-1,,pP,choppermortar,*ma̹kaNV,*ma̹kaNV,m a k a !N/n !V/i,,,66,,^ * m a̹ k a N V $,default,**manVkanV,"stone chopper,pestle"
pT-choppermortar-1,,pT,choppermortar,*a-maka,*a-maka,a + m a k a,also cf. Kav,,66,,^ * a - m a k a $,default,**manVkanV,"mortar,chopper,grinder"
ProPaTa-achiote-1,,ProPaTa,achiote,**maṣ̌ɨ,**maṣ̌ɨ,m a ʃ ɨ,,,67,,^ * * m a ṣ̌ ɨ $,default,**maṣ̌ɨ,achiote
pP-achiote-1,,pP,achiote,*maṣ̌ɨ,*maṣ̌ɨ,m a ʃ ɨ,,,67,,^ * m a ṣ̌ ɨ $,default,**maṣ̌ɨ,achiote
pT-achiote-1,,pT,achiote,*mac̣e,*mac̣e,m a ʈʂ e,,,67,,^ * m a c̣ e $,default,**maṣ̌ɨ,achiote
ProPaTa-bad-1,,ProPaTa,bad,**ma…,**ma…,m a,,,68,,^ * * m a … $,default,**ma…,bad
pP-bad-1,,pP,bad,*…,*…,,,,68,,^ * … $,default,**ma…,bad
pT-bad-1,,pT,bad,*maza-da,*maza-da,m a z a + d a,,,68,,^ * m a z a - d a $,default,**ma…,bad
ProPaTa-tell-1,,ProPaTa,tell,**mi-,**mi-,m i,,,69,,^ * * m i -$,default,**mi-,tell
